Region, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020
ALA, 0.888, 0.453, 0.123, -0.137, -1.22, -0.402, 0.418, 0.3, 1.347, -0.456, 0.102, -0.293, 1.232, -0.773, -0.372, -0.672, -0.497, -0.697, -0.957, -1.512, -0.242
WNA, 0.782, -0.847, 0.593, -0.871, -1.007, -1.803, -0.294, 0.166, 0.584, -0.97, 0.629, 1.462, 0.823, -0.485, -0.147, -1.593, -0.06, 0.118, -0.062, -1.013, -0.115
ACN, 0.124, 0.373, 0.64, 0.424, 0.776, 0.252, 0.437, -0.09, -0.136, 0.079, 0.129, -0.467, -0.419, 0.627, 0.422, -0.169, 0.029, 0.645, 0.731, -0.16, -1.17
ACS, 0.239, 0.279, 0.409, 0.167, 0.33, 0.046, 0.255, -0.013, 0.052, 0.153, 0.144, -0.467, -0.187, 0.251, 0.453, -0.125, -0.257, 0.356, 0.379, -0.15, -1.17
GRL, 0.452, 0.322, 0.782, 1.622, 0.212, -0.538, 0.702, -0.298, 0.366, 0.142, -0.602, -0.808, -0.029, -0.071, 0.387, 0.935, -0.527, 0.355, 0.969, -0.805, 0.394
ISL, -0.482, -0.166, -0.074, -0.422, -0.57, -0.371, -0.13, 0.012, -0.201, 0.387, -1.967, 0.348, 0.046, 0.255, -0.161, 1.516, -0.232, 0.388, 0.8, -0.489, 0.231
SJM, 0.365, -0.164, 0.047, -0.149, -0.303, -0.155, 0.051, 0.116, 0.438, 0.084, 0.274, -0.319, 0.288, -0.458, 0.404, -0.115, -0.528, -0.063, -0.209, -0.117, -1.127
SCA, 0.991, -0.606, -0.846, -1.102, -0.063, 0.303, -1.809, 0.698, 0.568, -0.059, -0.905, -0.989, 1.07, -0.849, -0.625, 1.072, -0.058, 0.397, -1.146, -0.53, 0.668
RUA, 0.47, 0.092, -0.052, -0.346, -0.564, -0.365, -0.111, 0.141, 0.427, 0.3, 0.175, -0.467, 0.278, -0.5, 0.515, -0.035, -0.83, -0.22, -0.325, -0.14, -1.17
ASN, 0.088, 0.128, -0.039, -0.045, 0.108, 0.405, 0.121, 0.005, -0.482, 0.798, 0.551, -0.165, -0.705, 0.153, -0.046, -0.195, 0.482, -0.307, 0.198, -0.1, -0.622
CEU, 0.391, 1.132, 0.342, -0.982, 0.272, -0.107, -0.295, -0.227, -0.005, 0.086, 0.416, -0.517, -0.59, 0.639, 0.74, -0.711, 0.109, -0.78, -0.525, -0.16, 0.221
CAU, -0.258, 0.157, 1.187, 1.062, 1.332, 1.137, 0.112, -0.478, 0.427, 0.542, -0.079, 0.073, -0.468, 0.479, -0.303, -0.178, -0.013, 0.007, 0.618, 0.365, -0.382
ASC, 0.352, -0.164, -0.255, 0.291, 0.103, 0.185, -0.342, -0.026, 0.101, 0.274, -0.338, -0.014, -0.113, -0.014, -0.032, -0.028, 0.164, -0.245, 0.03, -0.068, 0.396
ASW, 0.37, 0.175, 0.436, -0.203, -0.614, 0.675, -0.476, -0.87, -0.21, 0.62, 0.72, 0.289, -0.025, -0.28, 0.17, 0.285, -0.402, -0.007, 0.0, 0.937, 0.114
ASE, -0.071, -0.107, 0.023, 0.579, 0.12, -0.041, -0.045, 0.422, 0.047, -0.407, 0.005, 0.356, -0.344, 0.208, -0.113, -0.081, 0.06, -0.415, -0.58, -0.615, 0.114
TRP, 0.622, 0.628, -0.216, 0.066, -0.332, -1.014, 0.017, 0.021, 1.076, -0.291, -0.436, 0.375, 0.294, -0.015, 0.053, -0.085, -1.035, -0.121, 0.393, -0.453, -0.842
SAN, 0.483, 1.861, 0.122, 1.422, -0.189, 0.014, 0.907, 0.061, 0.342, 0.068, 0.05, -0.195, -0.497, -0.021, -0.164, -0.676, 0.92, 1.055, -0.291, -0.654, -0.499
NZL, 0.483, 1.861, 0.122, 1.422, -0.361, 1.815, 1.13, 1.131, -1.259, -0.263, 0.365, -1.488, -0.101, 0.867, 0.612, 0.832, -0.704, 0.81, -1.941, -1.19, -0.263
ANT, -0.167, 0.011, -0.254, -0.243, -0.088, -0.092, -0.388, -0.284, -0.079, -0.31, 0.216, 0.096, -0.121, 0.09, 0.154, 0.195, -0.043, -0.406, -0.386, 0.104, -0.321
