Region, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020
ALA, 0.589, 0.963, 0.568, 2.013, 1.284, 1.168, 1.153, 0.718, 0.951, 0.982, 1.119, 0.806, 1.028, 0.687, 1.165, 0.556, 1.151, 0.752, 1.549, 1.315, 1.388
WNA, 1.09, 1.395, 1.337, 1.235, 1.241, 1.597, 1.572, 1.285, 1.397, 1.342, 1.216, 1.359, 0.939, 1.28, 1.324, 2.071, 1.233, 0.998, 0.837, 1.179, 1.051
ACN, 0.874, 1.066, 0.937, 1.044, 1.017, 1.01, 0.93, 0.957, 0.885, 0.999, 0.944, 0.922, 0.974, 0.907, 1.015, 0.907, 0.939, 0.988, 0.99, 0.878, 0.873
ACS, 0.845, 0.96, 1.047, 1.153, 1.523, 1.052, 0.967, 0.869, 0.943, 0.897, 0.835, 0.815, 1.076, 1.315, 0.891, 0.813, 1.15, 1.178, 1.304, 0.781, 0.778
GRL, 0.726, 0.653, 0.967, 1.719, 0.606, 0.782, 0.903, 0.641, 0.962, 0.623, 0.786, 0.906, 0.845, 1.345, 0.895, 0.955, 0.978, 0.646, 1.406, 1.044, 0.794
ISL, 1.306, 1.326, 0.741, 0.627, 0.72, 1.633, 0.863, 0.638, 0.694, 0.691, 1.155, 0.871, 1.13, 0.665, 0.734, 0.682, 0.636, 0.759, 1.004, 0.742, 0.885
SJM, 0.675, 0.839, 0.643, 0.659, 0.921, 0.747, 0.507, 0.431, 0.429, 0.683, 0.406, 0.489, 0.456, 0.77, 0.697, 0.483, 0.739, 0.633, 0.659, 0.472, 0.359
SCA, 0.984, 1.697, 1.002, 1.477, 0.725, 0.919, 1.56, 1.148, 0.653, 0.93, 1.379, 0.989, 1.019, 0.98, 0.89, 0.932, 0.711, 1.346, 0.77, 1.79, 1.313
RUA, 0.463, 0.447, 0.454, 0.446, 0.448, 0.461, 0.461, 0.453, 0.446, 0.446, 0.461, 0.448, 0.49, 0.446, 0.457, 0.448, 0.463, 0.447, 0.446, 0.447, 0.447
ASN, 0.464, 0.463, 0.465, 0.46, 0.467, 0.471, 0.472, 0.459, 0.47, 0.494, 0.47, 0.46, 0.47, 0.458, 1.158, 0.474, 1.226, 0.756, 0.639, 0.469, 0.772
CEU, 0.804, 1.094, 0.812, 1.184, 0.91, 0.96, 1.117, 1.123, 0.725, 1.075, 0.753, 0.741, 0.847, 0.587, 0.77, 0.696, 0.823, 1.144, 1.008, 0.968, 1.172
CAU, 0.845, 0.884, 0.896, 0.881, 1.039, 0.903, 0.85, 1.479, 0.856, 0.886, 1.139, 0.899, 0.976, 0.844, 0.896, 0.857, 0.926, 0.903, 1.668, 1.188, 1.0
ASC, 0.35, 0.678, 0.685, 0.774, 0.7, 0.401, 0.641, 0.728, 1.044, 1.038, 0.784, 0.597, 0.445, 0.541, 0.818, 0.71, 0.783, 0.747, 0.565, 0.818, 0.535
ASW, 0.33, 0.777, 0.492, 1.325, 0.553, 0.434, 1.136, 0.622, 0.742, 0.382, 0.791, 0.51, 0.485, 0.363, 0.392, 0.384, 0.337, 0.412, 0.328, 0.993, 0.382
ASE, 0.357, 0.365, 0.49, 0.653, 0.412, 0.352, 0.732, 0.765, 0.577, 0.82, 0.615, 0.871, 0.586, 0.77, 0.591, 0.561, 0.491, 1.059, 0.736, 0.486, 0.401
TRP, 1.202, 1.666, 1.348, 1.848, 1.205, 1.366, 1.641, 1.901, 1.825, 1.407, 1.94, 1.975, 1.565, 1.427, 1.46, 2.376, 1.995, 1.53, 1.477, 2.086, 1.343
SAN, 1.275, 2.566, 2.107, 3.556, 1.672, 1.82, 1.958, 1.65, 1.372, 1.688, 1.954, 1.438, 1.409, 1.43, 1.513, 1.556, 3.343, 4.427, 2.352, 1.999, 1.618
NZL, 1.806, 2.867, 2.465, 3.778, 2.686, 2.514, 2.075, 2.075, 2.148, 1.76, 1.778, 1.783, 1.741, 1.796, 1.835, 1.775, 1.743, 1.776, 1.769, 1.834, 1.76
ANT, 1.226, 1.141, 1.175, 1.264, 1.155, 1.154, 1.389, 1.282, 1.184, 1.225, 1.208, 1.152, 1.181, 1.145, 1.172, 1.209, 1.294, 1.161, 1.253, 1.152, 1.185
