Region, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020
ALA, 0.035, -0.4, -0.73, -0.99, -2.073, -1.255, -0.435, -0.553, 0.494, -1.309, -0.751, -1.146, 0.379, -1.626, -1.225, -1.525, -1.35, -1.55, -1.81, -2.365, -1.095
WNA, -0.047, -1.676, -0.236, -1.7, -1.836, -2.632, -1.123, -0.663, -0.245, -1.799, -0.2, 0.633, -0.006, -1.314, -0.976, -2.422, -0.889, -0.711, -0.891, -1.842, -0.944
ACN, -0.447, -0.198, 0.069, -0.147, 0.205, -0.319, -0.134, -0.661, -0.707, -0.492, -0.442, -1.038, -0.99, 0.056, -0.149, -0.74, -0.542, 0.074, 0.16, -0.731, -1.741
ACS, -0.332, -0.292, -0.162, -0.404, -0.241, -0.525, -0.316, -0.584, -0.519, -0.418, -0.427, -1.038, -0.758, -0.32, -0.118, -0.696, -0.828, -0.215, -0.192, -0.721, -1.741
GRL, -0.173, -0.303, 0.157, 0.997, -0.413, -1.163, 0.077, -0.923, -0.259, -0.483, -1.227, -1.433, -0.654, -0.696, -0.238, 0.31, -1.152, -0.27, 0.344, -1.43, -0.231
ISL, -0.977, -0.661, -0.569, -0.917, -1.065, -0.866, -0.625, -0.483, -0.696, -0.108, -2.462, -0.147, -0.449, -0.24, -0.656, 1.021, -0.727, -0.107, 0.305, -0.984, -0.264
SJM, -0.107, -0.636, -0.425, -0.621, -0.775, -0.627, -0.421, -0.356, -0.034, -0.388, -0.198, -0.791, -0.184, -0.93, -0.068, -0.587, -1.0, -0.535, -0.681, -0.589, -1.599
SCA, 0.505, -1.092, -1.332, -1.588, -0.549, -0.183, -2.295, 0.212, 0.082, -0.545, -1.391, -1.475, 0.584, -1.335, -1.111, 0.586, -0.544, -0.089, -1.632, -1.016, 0.182
RUA, -0.002, -0.38, -0.524, -0.818, -1.036, -0.837, -0.583, -0.331, -0.045, -0.172, -0.297, -0.939, -0.194, -0.972, 0.043, -0.507, -1.302, -0.692, -0.797, -0.612, -1.642
ASN, -0.278, -0.238, -0.405, -0.411, -0.258, 0.039, -0.245, -0.361, -0.848, 0.432, 0.185, -0.531, -1.071, -0.213, -0.412, -0.561, 0.116, -0.673, -0.168, -0.466, -0.988
CEU, -0.48, 0.261, -0.529, -1.853, -0.599, -0.978, -1.166, -1.098, -0.876, -0.785, -0.455, -1.388, -1.461, -0.232, -0.131, -1.582, -0.762, -1.651, -1.396, -1.031, -0.65
CAU, -1.158, -0.743, 0.287, 0.162, 0.432, 0.237, -0.788, -1.378, -0.473, -0.358, -0.979, -0.827, -1.368, -0.421, -1.203, -1.078, -0.913, -0.893, -0.282, -0.535, -1.282
ASC, 0.198, -0.318, -0.409, 0.137, -0.051, 0.031, -0.496, -0.18, -0.053, 0.12, -0.492, -0.168, -0.267, -0.168, -0.186, -0.182, 0.01, -0.399, -0.124, -0.222, 0.242
ASW, 0.342, 0.147, 0.408, -0.231, -0.642, 0.647, -0.504, -0.898, -0.238, 0.592, 0.692, 0.261, -0.053, -0.308, 0.142, 0.257, -0.43, -0.035, -0.028, 0.909, 0.086
ASE, -0.417, -0.453, -0.323, 0.233, -0.226, -0.387, -0.391, 0.076, -0.299, -0.753, -0.341, 0.01, -0.69, -0.138, -0.459, -0.427, -0.286, -0.761, -0.926, -0.961, -0.232
TRP, -0.406, -0.4, -1.244, -0.962, -1.36, -2.042, -1.011, -1.007, 0.048, -1.319, -1.464, -0.653, -0.734, -1.043, -0.975, -1.113, -2.063, -1.149, -0.635, -1.481, -1.87
SAN, -0.7, 0.678, -1.061, 0.239, -1.372, -1.169, -0.276, -1.122, -0.841, -1.115, -1.133, -1.378, -1.68, -1.204, -1.347, -1.859, -0.263, -0.128, -1.474, -1.837, -1.682
NZL, -0.198, 1.18, -0.559, 0.741, -1.042, 1.134, 0.449, 0.45, -1.94, -0.944, -0.316, -2.169, -0.782, 0.186, -0.069, 0.151, -1.385, 0.129, -2.622, -1.871, -0.944
ANT, -0.278, -0.1, -0.365, -0.354, -0.199, -0.203, -0.499, -0.395, -0.19, -0.421, 0.105, -0.015, -0.232, -0.021, 0.043, 0.084, -0.154, -0.517, -0.497, -0.007, -0.432
